Server,CPU,RAM,Network,Date,Time
172.17.0.8,1.6,20.09,0.06,2024-11-04,06:40:05
172.17.0.7,2.5,20.24,0.06,2024-11-04,06:40:07
172.17.0.6,11.9,20.22,0.06,2024-11-04,06:40:08
172.17.0.5,1.6,20.22,0.06,2024-11-04,06:40:10
172.17.0.4,0.8,20.24,0.06,2024-11-04,06:40:12
172.17.0.2,100,20.22,0.06,2024-11-04,06:40:13
172.17.0.3,0.8,20.23,0.06,2024-11-04,06:40:15
172.17.0.8,100,20.19,0.06,2024-11-04,06:40:21
172.17.0.7,13.9,20.22,0.06,2024-11-04,06:40:22
172.17.0.6,100,20.21,0.06,2024-11-04,06:40:24
172.17.0.5,0.8,20.19,0.06,2024-11-04,06:40:26
172.17.0.4,3.3,20.19,0.06,2024-11-04,06:40:27
172.17.0.2,100,20.22,0.06,2024-11-04,06:40:29
172.17.0.3,100,20.24,0.06,2024-11-04,06:40:30
172.17.0.8,27.2,20.24,0.02,2024-11-04,06:40:38
172.17.0.7,100,20.27,0.06,2024-11-04,06:40:40
172.17.0.6,0.8,20.24,0.06,2024-11-04,06:40:42
172.17.0.5,100,20.24,0.06,2024-11-04,06:40:43
172.17.0.4,100,20.31,0.06,2024-11-04,06:40:45
172.17.0.2,0.8,20.31,0.06,2024-11-04,06:40:47
172.17.0.3,100,20.28,0.06,2024-11-04,06:40:49
172.17.0.8,13.4,20.28,0.06,2024-11-04,06:40:54
172.17.0.7,100,20.29,0.06,2024-11-04,06:40:56
172.17.0.6,100,20.24,0.06,2024-11-04,06:40:58
172.17.0.5,100,20.24,0.06,2024-11-04,06:41:00
172.17.0.4,0.8,20.23,0.06,2024-11-04,06:41:02
172.17.0.2,8.4,20.24,0.06,2024-11-04,06:41:05
172.17.0.3,0.8,20.23,0.06,2024-11-04,06:41:06
172.17.0.8,100,20.28,0.06,2024-11-04,06:41:14
172.17.0.7,100,20.29,0.06,2024-11-04,06:41:15
172.17.0.6,2.4,20.28,0.06,2024-11-04,06:41:17
172.17.0.5,100,20.36,0.06,2024-11-04,06:41:19
172.17.0.4,0.8,20.32,0.06,2024-11-04,06:41:20
172.17.0.2,0.8,20.31,0.06,2024-11-04,06:41:22
172.17.0.3,100,20.29,0.06,2024-11-04,06:41:24
172.17.0.8,100,20.26,0.06,2024-11-04,06:41:29
172.17.0.7,100,20.24,0.06,2024-11-04,06:41:31
172.17.0.6,100,20.27,0.06,2024-11-04,06:41:33
172.17.0.5,0.8,20.26,0.06,2024-11-04,06:41:34
172.17.0.4,2.5,19.94,0.06,2024-11-04,06:41:36
172.17.0.2,100,19.91,0.06,2024-11-04,06:41:38
172.17.0.3,2.5,19.90,0.06,2024-11-04,06:41:39
